Apps	64000	C:\\Users\\Felipe\\Documents\\VirtualDJ\\VirtualDJ 8 - User Guide.pdf	name=*|User Guide	gscore=64000	lscore=64000
Apps	8069	Microsoft.Messaging_8wekyb3d8bbwe!x27e26f40ye031y48a6yb130yd1f20388991ax	name=*|Mensagens	gscore=8069	lscore=8069
Apps	64000	Microsoft.AutoGenerated.{9232D09F-CC55-A2BD-FF20-5D6148BE8152}	name=*|Gerenciamento do computador	gscore=64000	lscore=64000
Apps	64000	{6D809377-6AF0-444B-8957-A3773F02200E}\\Oracle\\VirtualBox\\VirtualBox.chm	name=*|User manual (CHM, English)	gscore=64000	lscore=64000
Apps	64000	Microsoft.MicrosoftStickyNotes_8wekyb3d8bbwe!App	name=*|Sticky Notes	gscore=64000	lscore=64000
Apps	64000	Microsoft.AutoGenerated.{28D9B7BA-F454-83F9-A013-C62F951DA2D1}	name=*|Verificar se Há Atualizações	gscore=64000	lscore=64000
Apps	64000	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\PCSpim\\pcspim.exe	name=*|PCSpim	gscore=64000	lscore=64000
Apps	4181	Microsoft.Windows.Explorer	name=*|Explorador de Arquivos	gscore=6362	lscore=2000
Apps	9013	Microsoft.BingFinance_8wekyb3d8bbwe!AppexFinance	name=*|Dinheiro	gscore=9013	lscore=9013
Apps	64000	{6D809377-6AF0-444B-8957-A3773F02200E}\\Oracle\\VirtualBox\\License_en_US.rtf	name=*|License (English)	gscore=64000	lscore=64000
Apps	11577	{6D809377-6AF0-444B-8957-A3773F02200E}\\KMSpico\\scripts\\Log.cmd	name=*|Log KMSpico	gscore=11577	lscore=11577
Apps	6542	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\DsNET Corp\\aTube Catcher 2.0\\yct.exe	name=*|aTube Catcher	gscore=7084	lscore=6000
Apps	4009	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\mspaint.exe	name=*|Paint	gscore=3019	lscore=5000
Apps	9989	{6D809377-6AF0-444B-8957-A3773F02200E}\\Microsoft Xbox 360 Accessories\\XBoxStat.exe	name=*|Status do Microsoft Xbox 360 Accessories	gscore=9989	lscore=9989
Apps	5733	Microsoft.WindowsStore_8wekyb3d8bbwe!App	name=*|Loja	gscore=5467	lscore=6000
Apps	9647	{D65231B0-B2F1-4857-A4CE-A8E7C6EA7D27}\\WindowsPowerShell\\v1.0\\PowerShell_ISE.exe	name=*|Windows PowerShell ISE (x86)	gscore=9647	lscore=9647
Apps	64000	Microsoft.AutoGenerated.{F763BACE-4247-1534-6D1F-99E23FE8CC35}	name=*|Google Sheets	gscore=64000	lscore=64000
Apps	64000	C:\\Users\\Felipe\\AppData\\Local\\{EF4ED912-CBE6-B5AA-A67E-904282166CDA}\\HowToRemove\\HowToRemove.html	name=*|HowToRemove.html	gscore=64000	lscore=64000
Apps	64000	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\Firebird\\Firebird_2_1\\doc\\Firebird_v2.1.7.BugFixes.pdf	name=*|Firebird 2.1.7 Bug Fixes	gscore=64000	lscore=64000
Apps	64000	Microsoft.AutoGenerated.{608D390F-C79E-4828-3F07-F396C469C97A}	name=*|ffdshow video decoder (x64)	gscore=64000	lscore=64000
Apps	7232	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\magnify.exe	name=*|Lupa	gscore=7232	lscore=7232
Apps	64000	http://java.com/	name=*|Visite Java.com	gscore=64000	lscore=64000
Apps	64000	Microsoft.AutoGenerated.{8D61D65F-390D-7435-8B82-6890944A9BC8}	name=*|Monitor de Recursos	gscore=64000	lscore=64000
Apps	11610	Microsoft.BingTravel_8wekyb3d8bbwe!AppexTravel	name=*|Viagem	gscore=11610	lscore=11610
Apps	64000	http://java.com/help	name=*|Obter Ajuda	gscore=64000	lscore=64000
Apps	64000	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\SlySoft\\CloneCD\\CloneCDTray.exe	name=*|CloneCD Tray	gscore=64000	lscore=64000
Apps	9555	{7C5A40EF-A0FB-4BFC-874A-C0F2E0B9FA8E}\\K-Lite Codec Pack\\MPC-HC64\\mpc-hc64.exe	name=*|Media Player Classic (x64)	gscore=9555	lscore=9555
Apps	6541	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\WF.msc	name=*|Firewall do Windows com Segurança Avançada	gscore=6541	lscore=6541
Apps	64000	{6D809377-6AF0-444B-8957-A3773F02200E}\\CPUID\\CPU-Z\\cpuz.ini	name=*|Edit CPU-Z Config File	gscore=64000	lscore=64000
Apps	5943	Microsoft.ZuneMusic_8wekyb3d8bbwe!Microsoft.ZuneMusic	name=*|Groove Música	gscore=5943	lscore=5943
Apps	3578	{1AC14E77-02E7-4E5D-B744-2EB1AE5198B7}\\cmd.exe	name=*|Prompt de Comando	gscore=3157	lscore=4000
Apps	5473	windows.immersivecontrolpanel_cw5n1h2txyewy!microsoft.windows.immersivecontrolpanel	name=*|Configurações	gscore=4947	lscore=6000
Apps	64000	http://www.virtualdj.com/wiki/	name=*|Online Help	gscore=64000	lscore=64000
